,Title,Release year,Genres,IMDB rating,Runtime,Age rating,Production country,Streaming service,Type,Movie link
179,The Acolyte,(2024),"Mystery & Thriller, Science-Fiction, Action & Adventure, Drama, Fantasy",4.0 (110k),38min,,United States,"('Hotstar',)",tv show,https://www.justwatch.com/in/movie/the-unbearable-weight-of-massive-talent
180,The Legend of Hanuman,(2021),"Animation, Action & Adventure, Fantasy, Kids & Family",9.1 (13k),21min,,India,"('Hotstar',)",tv show,https://www.justwatch.com/in/movie/hridayam
181,Naruto Shippūden,(2007),"Science-Fiction, Animation, Action & Adventure, Comedy, Drama, Fantasy",8.7 (176k),24min,U,Japan,"('Netflix', 'Crunchyroll', 'Crunchyroll Amazon Channel')",tv show,https://www.justwatch.com/in/movie/exhuma
182,Scam 1992,(2020),"Crime, Drama, Mystery & Thriller",9.3 (151k),52min,,India,"('Sony Liv',)",tv show,https://www.justwatch.com/in/movie/beverly-hills-cop-axel-foley
183,Peaky Blinders,(2013),"Crime, Drama",8.8 (664k),58min,A,United Kingdom,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/the-wolf-of-wall-street
184,The Walking Dead: The Ones Who Live,(2024),"Science-Fiction, Drama, Mystery & Thriller, Horror",7.9 (32k),51min,,United States,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
185,Young Sheldon,(2017),"Comedy, Kids & Family",7.7 (114k),19min,,United States,"('Amazon Prime Video', 'Netflix')",tv show,https://www.justwatch.com/in/movie/kill
186,Mahabharatham,(2013),"Drama, War & Military, History",9.0 (12k),23min,U,"India, United States","('Hotstar',)",tv show,https://www.justwatch.com/in/movie/madgaon-express
187,Modern Family,(2009),"Comedy, Drama, Romance",8.5 (492k),21min,,United States,"('Hotstar',)",tv show,https://www.justwatch.com/in/movie/the-crew-2024
188,Hidden Love,(2023),Drama,,45min,,China,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/tumbbad
189,Naruto,(2002),"Science-Fiction, Action & Adventure, Comedy, Fantasy, Animation",8.4 (131k),23min,,Japan,"('Netflix', 'Amazon Prime Video', 'Anime Times Amazon Channel')",tv show,https://www.justwatch.com/in/movie/vanished-into-the-night
190,How I Met Your Mother,(2005),"Comedy, Romance, Drama",8.3 (736k),24min,U,United States,"('Hotstar',)",tv show,https://www.justwatch.com/in/movie/jawan
191,Doctor Stranger,(2014),"Crime, Drama, Action & Adventure, Romance",7.4 (3.6k),59min,,South Korea,"('Netflix', 'Zee5')",tv show,https://www.justwatch.com/in/movie/malayalee-from-india
192,Maxton Hall: The World Between Us,(2024),"Drama, Romance",7.5 (12k),45min,,Germany,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/bramayugam
193,The Wire,(2002),"Drama, Crime, Mystery & Thriller",9.3 (383k),59min,,United States,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/k-g-f-chapter-1
194,Maharani,(2021),Drama,7.9 (9.7k),44min,UA,India,"('Sony Liv', 'VI movies and tv')",tv show,https://www.justwatch.com/in/movie/the-holdovers
195,Tulsa King,(2022),"Drama, Crime",8.0 (74k),38min,,United States,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/fast-and-furious-presents-hobbs-and-shaw
196,The Decameron,(2024),"Drama, Comedy, History",6.1 (1.8k),55min,,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/anyone-but-you
197,The Man with 1000 Kids,(2024),"Documentary, Crime",6.6 (2k),41min,,United Kingdom,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/kakuda
198,The Orville,(2017),"Science-Fiction, Comedy, Drama",8.0 (101k),53min,U,United States,"('Hotstar',)",tv show,https://www.justwatch.com/in/movie/lovers-2024
199,Kleo,(2022),"Mystery & Thriller, Action & Adventure, Crime, Drama, Comedy",7.5 (14k),50min,A,Germany,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/bade-miyan-chote-miyan-2023
200,Parks and Recreation,(2009),Comedy,8.6 (292k),22min,,United States,,tv show,https://www.justwatch.com/in/movie/gladiator
201,Damaged,(2018),"Crime, Drama, Horror, Mystery & Thriller",5.5 (266),20min,,India,"('VI movies and tv',)",tv show,https://www.justwatch.com/in/movie/abigail-2024
202,Lucifer,(2016),"Crime, Science-Fiction, Drama, Fantasy",8.1 (360k),47min,U,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film
203,Spartacus,(2010),"Drama, Romance, Action & Adventure",8.5 (259k),54min,,United States,"('Lionsgate Play', 'Lionsgate Play Apple TV Channel', 'Lionsgate Play Amazon Channel')",tv show,https://www.justwatch.com/in/movie/spider-man-no-way-home
204,Undekhi,(2020),"Drama, Crime",,35min,A,India,"('Sony Liv',)",tv show,https://www.justwatch.com/in/movie/vikram-2021
205,Kaiju No. 8,(2024),"Science-Fiction, Animation, Action & Adventure, Fantasy, Horror",8.4 (8.4k),24min,,Japan,"('Crunchyroll', 'Crunchyroll Amazon Channel')",tv show,https://www.justwatch.com/in/movie/despicable-me-4-2024
206,Supernatural,(2005),"Drama, Science-Fiction, Fantasy, Horror, Mystery & Thriller",8.4 (490k),45min,,United States,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/sultan
207,Mismatched,(2020),"Drama, Romance, Comedy",5.9 (6.2k),35min,,India,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/fifty-shades-of-grey
208,Yellowstone,(2018),"Drama, Western",8.7 (229k),50min,,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/pushpa
209,One-Punch Man,(2015),"Animation, Comedy, Action & Adventure, Kids & Family, Fantasy, Science-Fiction",8.7 (189k),24min,,Japan,"('Netflix', 'Amazon Prime Video', 'Crunchyroll', 'Anime Times Amazon Channel', 'Crunchyroll Amazon Channel')",tv show,https://www.justwatch.com/in/movie/incendies
210,Mirzapur,(2018),"Action & Adventure, Drama, Crime, Mystery & Thriller",8.5 (86k),50min,A,India,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/maharaja-2024
211,House of the Dragon,(2022),"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",8.4 (420k),1h 6min,A,United States,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/project-k
212,The Boys,(2019),"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",8.7 (701k),1h 1min,A,United States,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/kill-2024
213,Panchayat,(2020),"Drama, Comedy",9.0 (96k),35min,,India,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/munjha
214,Sweet Home,(2020),"Science-Fiction, Horror, Mystery & Thriller, Drama, Fantasy",7.3 (34k),58min,A,South Korea,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
215,Avoidance  - Series 2,(2024),"Drama, Comedy",6.6 (1k),29min,,United Kingdom,,tv show,https://www.justwatch.com/in/movie/mon-laferte-te-amo
216,A Good Girl's Guide to Murder  - Season 1,(2024),Mystery & Thriller,6.8 (2.2k),44min,,United Kingdom,,tv show,https://www.justwatch.com/in/movie/saving-bikini-bottom-the-sandy-cheeks-movie
217,Rising Impact  - Season 2,(2024),"Drama, Animation, Sport",7.5 (257),27min,,Japan,,tv show,https://www.justwatch.com/in/movie/rebel-moon-part-one-directors-cut
218,The Umbrella Academy  - Season 4,(2023),"Comedy, Drama, Fantasy, Science-Fiction, Action & Adventure",7.9 (280k),53min,,United States,,tv show,https://www.justwatch.com/in/movie/the-instigators
219,Yo Gabba Gabba!  - Season 4,(2011),"Animation, Kids & Family, Comedy, Drama, Music & Musical",6.9 (1.9k),24min,,United States,,tv show,https://www.justwatch.com/in/movie/the-union
