,Title,Release year,Genres,IMDB rating,Runtime,Age rating,Production country,Streaming service,Type,Movie link
66,From,(2023),"Drama, War & Military, History",7.7 (18k),50min,UA,United States,,movie,https://www.justwatch.com/in/movie/sam-bahadur
67,Sunflower,(2018),"Comedy, Science-Fiction, Action & Adventure",7.6 (662k),38min,A,India,"('Zee5', 'VI movies and tv')",movie,https://www.justwatch.com/in/movie/deadpool-2
68,You,(2024),"Crime, Romance, Mystery & Thriller, Action & Adventure",6.7 (35k),48min,,United States,"('Netflix',)",movie,https://www.justwatch.com/in/movie/love-lies-bleeding-2024
69,The Acolyte,(2022),"Action & Adventure, Comedy, Crime, Mystery & Thriller",7.0 (157k),38min,A,United States,"('Hotstar',)",movie,https://www.justwatch.com/in/movie/the-unbearable-weight-of-massive-talent
70,The Legend of Hanuman,(2022),"Drama, Romance",8.1 (16k),21min,U,India,"('Hotstar',)",movie,https://www.justwatch.com/in/movie/hridayam
71,Naruto Shippūden,(2024),"Horror, Mystery & Thriller",6.9 (13k),24min,UA,Japan,"('Netflix', 'Crunchyroll', 'Crunchyroll Amazon Channel')",movie,https://www.justwatch.com/in/movie/exhuma
72,Scam 1992,(2023),"Action & Adventure, Comedy, Crime, Mystery & Thriller",6.5 (56k),52min,A,India,"('Sony Liv',)",movie,https://www.justwatch.com/in/movie/beverly-hills-cop-axel-foley
73,Peaky Blinders,(2013),"Crime, Drama, Comedy",8.2 (2m),58min,A,United Kingdom,"('Netflix',)",movie,https://www.justwatch.com/in/movie/the-wolf-of-wall-street
74,The Walking Dead: The Ones Who Live,(2001),"Action & Adventure, Fantasy, Kids & Family",7.6 (865k),51min,U,United States,"('Amazon Prime Video',)",movie,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
75,Young Sheldon,(2011),"Mystery & Thriller, Comedy, Horror",4.4 (129),19min,,United States,"('Amazon Prime Video', 'Netflix')",movie,https://www.justwatch.com/in/movie/kill
76,Mahabharatham,(2024),"Comedy, Drama",7.1 (37k),23min,UA,"India, United States","('Hotstar',)",movie,https://www.justwatch.com/in/movie/madgaon-express
77,Modern Family,(2024),"Comedy, Drama",5.9 (35k),21min,UA,United States,"('Hotstar',)",movie,https://www.justwatch.com/in/movie/the-crew-2024
78,Hidden Love,(2018),"Horror, Fantasy, Mystery & Thriller, Drama, Made in Europe",8.2 (60k),45min,A,China,"('Netflix',)",movie,https://www.justwatch.com/in/movie/tumbbad
79,Naruto,(2024),"Mystery & Thriller, Drama",5.2 (3k),23min,,Japan,"('Netflix', 'Amazon Prime Video', 'Anime Times Amazon Channel')",movie,https://www.justwatch.com/in/movie/vanished-into-the-night
80,How I Met Your Mother,(2023),"Action & Adventure, Mystery & Thriller, Crime, Drama",7.0 (98k),24min,UA,United States,"('Hotstar',)",movie,https://www.justwatch.com/in/movie/jawan
81,Doctor Stranger,(2024),"Action & Adventure, Comedy, Drama",5.8 (4.5k),59min,,South Korea,"('Netflix', 'Zee5')",movie,https://www.justwatch.com/in/movie/malayalee-from-india
82,Maxton Hall: The World Between Us,(2024),"Drama, Horror, Mystery & Thriller",7.9 (10k),45min,UA,Germany,"('Amazon Prime Video',)",movie,https://www.justwatch.com/in/movie/bramayugam
83,The Wire,(2018),"Mystery & Thriller, Crime, Drama, Action & Adventure",8.2 (100k),59min,UA,United States,"('Jio Cinema',)",movie,https://www.justwatch.com/in/movie/k-g-f-chapter-1
84,Maharani,(2023),"Comedy, Drama",7.9 (156k),44min,A,India,"('Sony Liv', 'VI movies and tv')",movie,https://www.justwatch.com/in/movie/the-holdovers
85,Tulsa King,(2019),"Action & Adventure, Comedy, Mystery & Thriller",6.5 (239k),38min,A,United States,"('Jio Cinema',)",movie,https://www.justwatch.com/in/movie/fast-and-furious-presents-hobbs-and-shaw
86,The Decameron,(2023),"Comedy, Romance",6.1 (107k),55min,A,United States,"('Netflix',)",movie,https://www.justwatch.com/in/movie/anyone-but-you
87,The Man with 1000 Kids,(2024),"Comedy, Horror",,41min,,United Kingdom,"('Netflix',)",movie,https://www.justwatch.com/in/movie/kakuda
88,The Orville,(2024),"Drama, Romance, Comedy",6.4 (5.9k),53min,UA,United States,"('Hotstar',)",movie,https://www.justwatch.com/in/movie/lovers-2024
